Carat Weight,Cut,Color,Clarity,Polish,Symmetry,Report,Price
1,Fair,F,VS1,EX,VG,GIA,6627
1,Good,E,SI1,VG,EX,GIA,5408
1.26,Very Good,F,VS1,EX,EX,GIA,11255
1.31,Ideal,I,VS1,EX,EX,GIA,7751
1.51,Very Good,G,VS2,VG,VG,GIA,11923
1.02,Very Good,D,SI1,G,VG,GIA,5839
1.01,Ideal,E,VVS2,VG,VG,GIA,10503
0.91,Ideal,I,VS1,ID,ID,AGSL,4374
0.79,Ideal,I,VS2,VG,EX,GIA,2712
0.79,Good,E,SI1,VG,VG,GIA,2548
1.02,Very Good,E,SI1,VG,VG,GIA,5667
2.02,Very Good,F,SI1,VG,VG,GIA,17658
1.06,Ideal,I,SI1,EX,EX,GIA,4745
1.01,Very Good,F,VVS2,VG,G,GIA,7835
0.9,Very Good,D,VS2,G,VG,GIA,4729
2.15,Very Good,G,VS1,EX,EX,GIA,27558
2.2,Very Good,F,VS2,EX,EX,GIA,27535
1.22,Ideal,F,VS1,EX,EX,GIA,10422
1,Fair,E,VVS2,VG,G,GIA,7553
0.8,Very Good,H,SI1,EX,G,GIA,2670
2.19,Very Good,F,VS2,VG,VG,GIA,29635
1.32,Ideal,D,VVS2,EX,EX,GIA,16099
1.51,Good,F,SI1,G,G,GIA,11056
1.01,Good,E,SI1,VG,VG,GIA,5233
2.74,Ideal,I,SI1,ID,ID,AGSL,24089
1.02,Very Good,F,VVS1,VG,VG,GIA,8800
2.04,Ideal,E,SI1,ID,ID,AGSL,20045
1.02,Ideal,G,VS1,EX,VG,GIA,7038
1.02,Very Good,G,VVS2,VG,EX,GIA,8252
2.08,Ideal,H,SI1,EX,EX,GIA,18760
1.02,Very Good,F,VVS2,EX,VG,GIA,9246
1.06,Ideal,G,SI1,VG,VG,GIA,5870
1.5,Very Good,F,VS2,VG,VG,GIA,12751
1.57,Very Good,F,VVS1,EX,EX,GIA,21167
2.34,Very Good,D,VVS2,VG,VG,GIA,57208
1.2,Ideal,I,VS2,EX,EX,GIA,6303
1.01,Very Good,D,SI1,VG,VG,GIA,5619
1.32,Ideal,G,VS1,ID,ID,AGSL,11079
1.15,Very Good,H,VS2,G,G,GIA,5831
0.91,Very Good,D,SI1,VG,G,GIA,4585
1.14,Ideal,I,SI1,VG,VG,GIA,4894
1.13,Ideal,H,VVS2,EX,EX,GIA,7385
2.08,Ideal,E,VS2,EX,EX,GIA,32149
0.9,Good,E,VVS1,EX,VG,GIA,7214
0.75,Ideal,H,SI1,VG,VG,GIA,2501
2.66,Ideal,D,FL,EX,EX,GIA,96493
1.56,Ideal,G,VS2,EX,EX,GIA,13543
1.02,Very Good,G,VVS2,G,VG,GIA,8013
1.02,Ideal,F,SI1,VG,EX,GIA,5795
1.53,Very Good,G,VS1,VG,G,GIA,15008
1.07,Very Good,F,IF,G,G,GIA,11019
1.2,Very Good,G,SI1,VG,VG,GIA,6076
0.9,Fair,F,SI1,VG,VG,GIA,3842
1.23,Ideal,D,VVS2,EX,EX,GIA,13274
1.01,Ideal,D,VVS2,ID,ID,AGSL,11442
1.06,Signature-Ideal,F,VVS2,EX,EX,GIA,10927
1.04,Ideal,G,VS2,EX,EX,GIA,6769
1.51,Ideal,G,VS2,VG,EX,GIA,12947
1.22,Very Good,H,SI1,G,VG,GIA,6350
0.9,Very Good,E,SI1,VG,G,GIA,4265
1.02,Ideal,F,VS2,EX,VG,GIA,6622
0.8,Very Good,H,VS1,VG,VG,GIA,3144
1.57,Ideal,E,VS2,EX,EX,GIA,17548
2.08,Very Good,F,VS2,VG,G,GIA,30210
0.9,Very Good,F,VS1,VG,VG,GIA,4671
1.5,Ideal,H,VS1,ID,ID,AGSL,12055
2.01,Very Good,H,SI1,VG,G,GIA,18149
1.28,Ideal,G,SI1,EX,EX,GIA,7415
1.52,Very Good,H,VS1,VG,VG,GIA,12877
1,Good,H,SI1,VG,VG,GIA,4702
2.37,Ideal,H,VS2,EX,VG,GIA,28063
2.02,Good,E,VS1,EX,VG,GIA,29334
1.21,Ideal,F,VS1,ID,ID,AGSL,11045
1.54,Good,H,VS1,EX,VG,GIA,10669
1.5,Very Good,H,VS2,VG,G,GIA,9706
0.78,Very Good,E,VVS1,EX,VG,GIA,4904
2.2,Very Good,I,VS1,EX,EX,AGSL,19671
1.14,Ideal,G,IF,EX,EX,GIA,9948
1.33,Ideal,G,VVS2,EX,EX,GIA,12345
1.04,Ideal,D,VVS2,EX,EX,GIA,11367
2,Very Good,I,SI1,VG,G,GIA,15381
0.9,Very Good,D,VVS2,EX,VG,GIA,5423
1.51,Fair,G,SI1,G,VG,GIA,8681
1.23,Very Good,G,VVS1,EX,EX,GIA,10477
1.53,Ideal,I,SI1,VG,VG,GIA,8971
1.04,Very Good,F,SI1,G,VG,GIA,5290
1.2,Very Good,H,SI1,EX,G,GIA,5630
2.13,Ideal,D,IF,ID,ID,AGSL,70114
0.9,Good,H,VS1,VG,VG,GIA,4072
1.09,Ideal,E,VS2,EX,EX,GIA,7978
1.27,Ideal,F,VVS1,VG,VG,GIA,13279
1.01,Good,G,SI1,VG,G,GIA,4884
1.13,Very Good,G,VVS2,VG,VG,GIA,9788
1.01,Very Good,I,VS1,EX,EX,GIA,5041
2.21,Ideal,G,VS2,EX,EX,GIA,30440
2.03,Ideal,I,VVS1,ID,ID,AGSL,21437
2.01,Very Good,I,VS2,VG,VG,GIA,15675
2.13,Very Good,H,SI1,VG,VG,GIA,17601
1.5,Good,F,SI1,G,G,GIA,10755
1.27,Ideal,I,VS1,G,VG,GIA,6396
1.07,Ideal,F,IF,EX,VG,GIA,11327
2.14,Good,G,SI1,VG,G,GIA,20853
1.01,Very Good,H,SI1,EX,EX,AGSL,4727
1,Ideal,F,SI1,VG,EX,GIA,5312
1.52,Very Good,E,SI1,EX,EX,GIA,12275
1.19,Ideal,G,VS1,ID,ID,AGSL,8034
1.03,Ideal,F,VS1,ID,ID,AGSL,7856
1.01,Good,F,SI1,EX,VG,GIA,5078
0.9,Very Good,D,SI1,G,G,GIA,4105
2.02,Ideal,H,VS1,VG,VG,GIA,20885
1.22,Very Good,G,VS2,VG,EX,GIA,8340
1.13,Ideal,G,SI1,EX,VG,GIA,5759
1.01,Ideal,F,SI1,EX,EX,GIA,5870
1.04,Ideal,G,VS2,EX,EX,GIA,7044
0.76,Very Good,H,IF,EX,EX,GIA,3367
0.93,Ideal,I,SI1,EX,EX,GIA,3772
0.9,Ideal,H,VS2,VG,VG,GIA,4369
1.22,Very Good,G,VVS2,EX,EX,GIA,9919
1.16,Very Good,D,SI1,EX,EX,GIA,5695
2.5,Very Good,I,VS2,VG,G,GIA,20894
1.71,Good,I,VS2,G,G,GIA,11250
1.29,Ideal,H,SI1,ID,ID,AGSL,7036
1.03,Ideal,G,VS1,ID,ID,AGSL,6913
0.9,Ideal,D,SI1,EX,EX,GIA,5656
2.32,Very Good,E,VVS2,G,EX,GIA,47800
1.51,Good,I,VS2,VG,G,GIA,8951
2.01,Good,E,VVS2,EX,G,GIA,34255
1,Very Good,F,SI1,EX,VG,GIA,5528
1.29,Ideal,G,VS2,EX,VG,AGSL,8858
2.23,Ideal,H,VVS1,EX,EX,GIA,28811
1.2,Very Good,F,VS1,VG,VG,GIA,9574
0.78,Ideal,H,SI1,VG,EX,GIA,2622
1,Fair,H,SI1,G,VG,GIA,4269
0.92,Very Good,E,VS2,EX,EX,GIA,5044
1.05,Good,H,SI1,G,G,GIA,4785
1.1,Very Good,H,SI1,VG,EX,GIA,4938
1.23,Very Good,G,VVS1,G,VG,GIA,10435
0.76,Good,G,VS1,VG,G,AGSL,3121
1.21,Ideal,I,VS1,ID,ID,AGSL,7111
2.01,Ideal,H,VS2,ID,ID,AGSL,20296
1.02,Very Good,E,VS2,VG,G,GIA,6612
1.04,Good,G,SI1,G,G,GIA,4768
0.76,Ideal,G,VS2,EX,EX,GIA,3114
1.01,Ideal,F,VS1,VG,VG,GIA,7870
1.51,Ideal,D,SI1,EX,EX,GIA,13588
1.22,Ideal,F,VVS2,VG,EX,GIA,10409
2.02,Very Good,E,VS2,VG,EX,GIA,28739
1.09,Ideal,G,VS1,EX,EX,GIA,7992
0.91,Very Good,D,VS2,VG,VG,GIA,5134
1,Fair,E,VS2,VG,G,GIA,6268
0.9,Very Good,I,VS2,G,G,GIA,3709
1.32,Very Good,I,VS1,VG,VG,GIA,6793
2.01,Good,H,VS2,G,G,GIA,18341
1.01,Ideal,I,SI1,VG,VG,GIA,5020
1.09,Signature-Ideal,G,VS2,ID,ID,AGSL,7709
1,Very Good,E,SI1,VG,VG,GIA,5247
0.91,Very Good,H,VVS2,VG,VG,GIA,4143
1.55,Signature-Ideal,I,VS2,ID,ID,AGSL,11574
1.25,Ideal,G,VVS2,ID,ID,AGSL,10983
1.03,Ideal,G,VVS2,EX,EX,GIA,8277
0.77,Ideal,D,SI1,ID,ID,AGSL,3345
2.01,Ideal,H,SI1,EX,VG,GIA,18252
0.78,Ideal,H,VVS2,EX,EX,GIA,3581
1.5,Signature-Ideal,G,VVS2,ID,ID,AGSL,17176
1.7,Very Good,H,SI1,VG,VG,GIA,11560
1.15,Ideal,H,SI1,VG,VG,GIA,5529
0.84,Ideal,I,VS1,EX,EX,GIA,2898
1.07,Very Good,H,VS2,G,G,GIA,5586
1.5,Ideal,E,VS2,ID,ID,AGSL,14618
1,Very Good,G,VVS1,EX,G,GIA,7872
1.01,Good,F,VS2,G,VG,GIA,5700
1.14,Signature-Ideal,H,SI1,ID,ID,AGSL,7079
1.28,Ideal,F,VS1,EX,EX,GIA,12061
0.91,Very Good,G,VVS1,EX,EX,GIA,4680
1.22,Ideal,F,VS2,VG,VG,GIA,8418
0.91,Very Good,H,SI1,EX,VG,GIA,3998
1.01,Very Good,H,VS2,ID,ID,AGSL,5393
1.06,Signature-Ideal,G,VS1,ID,ID,AGSL,8093
1.26,Ideal,F,VS2,EX,EX,GIA,10709
0.9,Very Good,E,VS2,VG,EX,GIA,4920
0.92,Signature-Ideal,I,SI1,ID,ID,AGSL,4457
2.01,Very Good,G,VS1,EX,EX,GIA,24784
1,Very Good,G,VVS2,EX,EX,GIA,7215
1.5,Ideal,H,VVS2,ID,ID,AGSL,12187
1.2,Very Good,H,SI1,VG,VG,GIA,6377
2.03,Ideal,F,VS2,EX,EX,GIA,31773
2.07,Very Good,I,VS2,VG,EX,GIA,16378
1.01,Very Good,F,VS1,VG,VG,GIA,6914
0.79,Very Good,E,VVS2,VG,VG,GIA,4585
1.7,Good,G,VS2,VG,G,GIA,15087
0.83,Very Good,H,VS2,G,EX,GIA,3276
1.09,Ideal,G,VS2,EX,EX,GIA,7227
0.9,Good,H,SI1,G,VG,GIA,3238
0.9,Good,D,VS2,VG,G,GIA,4508
1.33,Ideal,I,VS2,ID,ID,AGSL,7752
1.51,Ideal,G,VS2,VG,EX,GIA,12913
1,Very Good,H,SI1,EX,EX,GIA,5021
2.02,Good,H,VS1,EX,EX,GIA,19829
0.81,Very Good,E,SI1,VG,G,GIA,3643
1.03,Ideal,D,VS1,EX,EX,GIA,9192
0.75,Ideal,E,SI1,G,VG,GIA,3049
1.06,Good,H,SI1,VG,VG,GIA,4828
0.86,Ideal,F,VS2,EX,EX,GIA,4398
0.91,Fair,F,SI1,G,G,GIA,3884
1.01,Good,F,SI1,EX,VG,GIA,5107
2.09,Ideal,H,VS1,EX,EX,GIA,23602
1.23,Very Good,F,VVS2,G,EX,GIA,11110
1.35,Very Good,H,VVS2,EX,ID,AGSL,8644
1.25,Ideal,E,VVS2,ID,ID,AGSL,12981
2.02,Very Good,G,SI1,VG,EX,GIA,19442
1.01,Very Good,D,SI1,VG,G,GIA,5670
1.52,Ideal,H,SI1,EX,VG,GIA,10239
1.53,Very Good,H,SI1,G,EX,GIA,9332
2.01,Ideal,G,VS1,VG,VG,GIA,26659
1.08,Ideal,H,SI1,ID,ID,AGSL,5558
1.23,Ideal,I,SI1,EX,EX,GIA,6183
1.23,Very Good,F,VS1,G,VG,GIA,9694
1.02,Very Good,G,IF,VG,VG,GIA,8538
1.02,Very Good,F,VVS2,EX,EX,GIA,9728
1.13,Ideal,G,VS1,ID,ID,AGSL,7808
2.43,Ideal,E,SI1,EX,EX,GIA,30108
1.03,Signature-Ideal,D,VS1,EX,EX,GIA,10607
0.8,Very Good,H,VVS1,ID,ID,AGSL,3737
1.09,Ideal,D,VVS2,EX,EX,GIA,12185
1,Very Good,D,SI1,EX,VG,GIA,6040
1,Ideal,G,VS2,VG,VG,GIA,5887
1.33,Signature-Ideal,F,VVS2,EX,EX,GIA,15031
0.9,Very Good,G,VS2,VG,VG,GIA,4173
1.05,Ideal,G,VS1,ID,ID,AGSL,7317
1.04,Good,E,VVS2,VG,G,GIA,9038
1.04,Very Good,F,VS1,VG,VG,GIA,8090
2.01,Ideal,G,SI1,ID,ID,AGSL,20934
1.51,Good,I,VS2,EX,G,GIA,8939
0.9,Fair,D,VS1,VG,G,GIA,4958
1.12,Ideal,G,VS1,ID,ID,AGSL,7970
0.91,Very Good,F,SI1,VG,VG,GIA,3963
1.05,Ideal,G,VS1,EX,VG,GIA,7571
2.01,Ideal,E,SI1,EX,EX,GIA,23217
0.9,Fair,E,SI1,VG,VG,GIA,3743
2.3,Very Good,E,VS1,EX,EX,GIA,45752
0.85,Very Good,D,VS2,VG,VG,GIA,4133
1.25,Very Good,I,VS2,G,VG,GIA,5956
1.59,Ideal,I,SI1,EX,EX,GIA,9209
1.2,Ideal,D,VVS2,VG,EX,GIA,13165
1.21,Very Good,G,VVS2,EX,EX,GIA,9878
1.05,Very Good,D,VS2,G,G,GIA,7794
1.06,Ideal,G,VS1,EX,EX,GIA,7594
1.02,Ideal,F,VS2,EX,VG,GIA,6645
1.01,Very Good,E,VVS2,VG,EX,GIA,8401
1.01,Very Good,F,VVS1,EX,VG,GIA,10019
0.82,Ideal,F,VS2,ID,ID,AGSL,3913
1.03,Very Good,G,SI1,G,VG,GIA,4997
0.9,Very Good,H,SI1,EX,EX,GIA,3770
0.91,Very Good,I,VS2,G,VG,GIA,3633
1.51,Fair,I,VS1,G,G,GIA,8359
1.01,Good,D,SI1,VG,VG,GIA,5541
1.12,Ideal,G,VS1,EX,EX,GIA,8202
2.07,Very Good,D,VVS2,G,VG,GIA,46229
1.01,Fair,F,VS2,EX,G,GIA,5747
2.57,Ideal,G,VS1,VG,EX,GIA,40652
1.23,Very Good,G,VVS2,EX,VG,GIA,9803
2.01,Good,I,SI1,EX,G,GIA,15743
2.01,Good,G,IF,EX,VG,GIA,27624
2.05,Good,H,VS1,VG,VG,GIA,19436
1.55,Ideal,G,VS1,EX,EX,GIA,15070
2.55,Ideal,I,VS1,EX,EX,GIA,25387
1.01,Ideal,E,VS1,EX,VG,GIA,7458
0.76,Very Good,H,SI1,EX,EX,GIA,2593
1.01,Good,H,SI1,G,G,GIA,5197
0.9,Ideal,I,VS1,VG,EX,GIA,3724
1.01,Very Good,G,SI1,EX,EX,GIA,5231
2.02,Ideal,E,VS2,VG,VG,GIA,29641
2.15,Good,F,SI1,EX,VG,GIA,23911
2.01,Good,E,VS2,VG,VG,GIA,25793
1.8,Very Good,E,SI1,EX,G,GIA,17273
1.53,Ideal,D,VS2,EX,EX,GIA,17223
1.02,Very Good,H,SI1,VG,EX,GIA,4802
1.52,Very Good,G,VS2,G,VG,GIA,12596
1.25,Ideal,E,VS2,VG,EX,GIA,9365
0.9,Very Good,D,VS2,VG,EX,GIA,4981
2.01,Ideal,I,SI1,VG,VG,GIA,15333
1.06,Ideal,D,SI1,VG,VG,GIA,6062
0.76,Ideal,D,VS1,VG,EX,GIA,4229
1.01,Good,F,VS2,G,G,GIA,6081
2.47,Very Good,G,VVS2,VG,EX,GIA,36993
1.15,Ideal,E,VVS1,EX,EX,GIA,12447
2.11,Ideal,G,SI1,EX,EX,GIA,21262
1.51,Ideal,I,SI1,EX,EX,GIA,8504
1.08,Signature-Ideal,H,VS1,ID,ID,AGSL,7397
0.9,Ideal,G,VVS1,EX,VG,GIA,6237
2.02,Very Good,F,SI1,VG,VG,GIA,20548
0.9,Ideal,G,VS1,EX,EX,GIA,4931
1.55,Fair,G,VS2,G,G,GIA,10981
1.01,Very Good,G,VS1,EX,VG,GIA,6561
2.39,Very Good,G,VVS2,VG,G,GIA,34415
1.5,Good,E,VS2,EX,VG,GIA,13061
0.75,Signature-Ideal,H,SI1,ID,ID,AGSL,3011
2.27,Ideal,E,VVS2,EX,EX,GIA,47741
1.51,Very Good,E,SI1,EX,EX,AGSL,12064
2.17,Ideal,H,VVS2,EX,EX,GIA,25707
1.71,Very Good,I,SI1,VG,VG,GIA,10410
1.01,Very Good,H,VS1,VG,VG,GIA,5680
1.01,Good,F,SI1,G,VG,GIA,5008
1.51,Ideal,H,VS2,EX,EX,GIA,11696
1.64,Ideal,I,VS2,VG,VG,GIA,10628
1.62,Signature-Ideal,F,VS1,ID,ID,AGSL,19661
0.88,Ideal,H,VVS1,VG,VG,GIA,4334
0.8,Very Good,E,VS1,EX,VG,GIA,3831
1.08,Ideal,D,SI1,VG,VG,GIA,6078
1.01,Very Good,E,VS2,EX,G,GIA,6491
2.01,Ideal,G,VS1,ID,ID,AGSL,26026
0.75,Very Good,E,VS2,EX,EX,GIA,3365
0.91,Fair,F,SI1,VG,VG,GIA,4036
1,Very Good,D,SI1,EX,VG,GIA,5491
1.01,Good,G,VVS2,VG,VG,GIA,7566
1.28,Ideal,G,VS1,G,EX,GIA,9372
2.03,Very Good,F,VS1,VG,VG,GIA,30894
1.2,Very Good,F,VS1,VG,VG,GIA,8983
2.25,Very Good,G,VS1,VG,VG,GIA,33248
1.05,Ideal,H,SI1,EX,VG,GIA,4925
0.9,Ideal,G,VS2,EX,EX,GIA,4748
1.25,Ideal,F,VS2,EX,EX,GIA,9503
0.96,Ideal,G,VS1,EX,EX,GIA,6807
1.25,Ideal,I,VS2,VG,VG,GIA,6562
1.05,Ideal,G,SI1,EX,VG,GIA,5361
1,Very Good,F,SI1,VG,VG,GIA,4961
1,Good,F,VS2,VG,G,GIA,6284
0.83,Very Good,E,SI1,EX,EX,GIA,3002
2.04,Very Good,I,SI1,VG,G,GIA,15412
0.75,Ideal,H,SI1,VG,VG,GIA,2523
1.53,Signature-Ideal,D,VS1,ID,ID,AGSL,21331
1.5,Very Good,F,SI1,ID,ID,AGSL,11096
2.04,Very Good,D,VS2,EX,VG,GIA,28578
1.1,Very Good,I,SI1,G,G,GIA,4583
0.92,Good,I,SI1,VG,VG,GIA,3122
0.9,Very Good,D,VVS2,VG,EX,GIA,6924
1.2,Signature-Ideal,E,VVS1,EX,EX,GIA,16256
0.81,Ideal,E,VVS1,EX,EX,GIA,5752
1.09,Ideal,F,IF,G,G,GIA,11888
1,Very Good,I,SI1,VG,VG,GIA,4095
1.5,Good,G,SI1,EX,VG,GIA,10271
1.04,Signature-Ideal,G,VS1,ID,ID,AGSL,7951
1.04,Ideal,G,VS2,VG,EX,GIA,6955
1.01,Very Good,G,VS2,G,VG,GIA,5696
2.13,Ideal,I,VS1,EX,VG,GIA,19058
1.11,Ideal,D,VS1,VG,EX,GIA,9315
2.07,Ideal,H,VS2,ID,ID,AGSL,20842
1.03,Ideal,G,VS2,EX,EX,GIA,7726
1.3,Ideal,H,VS2,EX,EX,GIA,8196
1.13,Ideal,G,SI1,EX,EX,GIA,6133
0.76,Ideal,E,VS2,VG,EX,GIA,3864
1.01,Very Good,D,SI1,EX,EX,GIA,5622
0.83,Very Good,E,SI1,G,G,AGSL,3295
1.04,Ideal,I,SI1,VG,VG,GIA,4484
1.75,Ideal,G,VS1,VG,VG,GIA,18851
1.01,Good,E,VS2,EX,VG,GIA,6132
0.79,Ideal,I,SI1,EX,VG,GIA,2442
0.86,Ideal,I,VS1,EX,EX,GIA,3122
